iyear,imonth,iday,country,country_txt,region,region_txt,provstate,city,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,weaptype1,weaptype1_txt,,,,,
2000,1,7,603,United Kingdom,8,Western Europe,Northern Ireland,Antrim,3,Bombing/Explosion,14,Private Citizens & Property,76,House/Apartment/Residence,Private Property,6,Explosives,,,,,
2000,1,8,98,Italy,8,Western Europe,Lazio,Rome,2,Armed Assault,22,Violent Political Party,110,Party Office/Facility,National Front (FN),8,Incendiary,,,,,
2000,1,8,185,Spain,8,Western Europe,Basque Country,Hernani,2,Armed Assault,16,Telecommunication,92,Multiple Telecommunication Targets,Airtel,8,Incendiary,,,,,
2000,1,8,235,Yugoslavia,9,Eastern Europe,Kolubara (District),Popuke,2,Armed Assault,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Alliance for Change (SZP),8,Incendiary,,,,,
2000,1,8,185,Spain,8,Western Europe,Basque Country,Guernica,2,Armed Assault,1,Business,3,Bank/Commerce,Banco Bilbao Vizcaya Argentaria (BBVA),8,Incendiary,,,,,
2000,1,9,235,Yugoslavia,9,Eastern Europe,Kolubara (District),Valjevo,2,Armed Assault,14,Private Citizens & Property,84,Political Party Member/Rally,Civil Resistance,5,Firearms,,,,,
2000,1,9,28,Bosnia-Herzegovina,9,Eastern Europe,Bosnia and Herzegovina (Federation),Travnik,3,Bombing/Explosion,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,6,Explosives,,,,,
2000,1,10,603,United Kingdom,8,Western Europe,Northern Ireland,Portadown,1,Assassination,17,Terrorists/Non-State Militia,94,Non-State Militia,Ulster Volunteer Force (UVF),5,Firearms,,,,,
2000,1,11,118,Macedonia,9,Eastern Europe,Aracinovo (Municipality),Aracinovo,2,Armed Assault,2,Government (General),18,Government Personnel (excluding police, military),Macedonia Interior Ministry,5,Firearms,,,,
2000,1,13,69,France,8,Western Europe,Lower Normandy,Pontorson,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,French Tax Office,6,Explosives,,,,,
2000,1,14,167,Russia,9,Eastern Europe,Astrakhan (Oblast),Tambovka,3,Bombing/Explosion,14,Private Citizens & Property,76,House/Apartment/Residence,Civilians,6,Explosives,,,,,
2000,1,15,199,Switzerland,8,Western Europe,Graubunden,Davos,3,Bombing/Explosion,14,Private Citizens & Property,81,Museum/Cultural Center/Cultural House,World Economic Forum,6,Explosives,,,,,
2000,1,18,167,Russia,9,Eastern Europe,Ingushetia (Republic),Nazran,3,Bombing/Explosion,2,Government (General),14,Judge/Attorney/Court,Supreme Court of Ingushetia,6,Explosives,,,,,
2000,1,19,118,Macedonia,9,Eastern Europe,Oslomej (Municipality),Oslomej,3,Bombing/Explosion,3,Police,22,Police Building (headquarters, station, school),Macedonia Police,6,Explosives,,,
2000,1,21,185,Spain,8,Western Europe,Madrid,Madrid,3,Bombing/Explosion,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,6,Explosives,,,,,
2000,1,21,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Cagllavice,3,Bombing/Explosion,1,Business,7,Retail/Grocery/Bakery,,6,Explosives,,,,,
2000,1,23,78,Greece,8,Western Europe,Attica,Athens,3,Bombing/Explosion,7,Government (Diplomatic),45,Diplomatic Personnel (outside of embassy, consulate),Italian Ministry of Foreign Affairs,8,Incendiary,,,,
2000,1,26,167,Russia,9,Eastern Europe,Smolensk (Oblast),Smolensk,3,Bombing/Explosion,1,Business,3,Bank/Commerce,Bakhus Joint-Stock Company,6,Explosives,,,,,
2000,1,26,185,Spain,8,Western Europe,Basque Country,Getxo,3,Bombing/Explosion,1,Business,3,Bank/Commerce,Bank,8,Incendiary,,,,,
2000,7,27,167,Russia,9,Eastern Europe,Dagestan,Makhachkala,2,Armed Assault,3,Police,25,Police Security Forces/Officers,Police in Makhachkala,5,Firearms,,,,,
2000,1,29,185,Spain,8,Western Europe,Basque Country,Portugalete,7,Facility/Infrastructure Attack,19,Transportation,100,Train/Train Tracks/Trolley,Spanish Railway System,8,Incendiary,,,,,
2000,1,29,185,Spain,8,Western Europe,Basque Country,Bilbao,2,Armed Assault,1,Business,3,Bank/Commerce,Bank,8,Incendiary,,,,,
2000,1,29,185,Spain,8,Western Europe,Basque Country,Lasarte,2,Armed Assault,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Basque Socialist Party (PSE-EE),8,Incendiary,,,,,
2000,1,28,235,Yugoslavia,9,Eastern Europe,Belgrade,Surcin,2,Armed Assault,2,Government (General),18,Government Personnel (excluding police, military),Civilian,5,Firearms,,,,
2000,1,30,1003,Kosovo,9,Eastern Europe,Pristina,Janine Vode,3,Bombing/Explosion,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,6,Explosives,,,,,
2000,1,30,185,Spain,8,Western Europe,Basque Country,Hernani,2,Armed Assault,2,Government (General),21,Government Building/Facility/Office,,8,Incendiary,,,,,
2000,2,2,118,Macedonia,9,Eastern Europe,Kumanovo municipality,Kumanovo,3,Bombing/Explosion,2,Government (General),14,Judge/Attorney/Court,Macedonia legal authorities,6,Explosives,,,,,
2000,2,3,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Mitrovica,3,Bombing/Explosion,1,Business,2,Restaurant/Bar/Caf�,,6,Explosives,,,,,
2000,2,3,1003,Kosovo,9,Eastern Europe,Kosovska Mitrovica,Cubrelj,3,Bombing/Explosion,19,Transportation,99,Bus (excluding tourists),United Nations,6,Explosives,,,,,
2000,2,6,603,United Kingdom,8,Western Europe,Northern Ireland,Irvinestown,3,Bombing/Explosion,1,Business,8,Hotel/Resort,Hotel,6,Explosives,,,,,
2000,2,7,235,Yugoslavia,9,Eastern Europe,Belgrade (District),Belgrade,1,Assassination,2,Government (General),18,Government Personnel (excluding police, military),Federal Republic of Yugoslavia (FRY) Ministry of Defense,5,Firearms,,,,
2000,2,7,167,Russia,9,Eastern Europe,Khabarovsk (Krai),Khabarousk,3,Bombing/Explosion,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,11,Sabotage Equipment,,,,,
2000,2,11,185,Spain,8,Western Europe,Basque Country,Amorebieta,7,Facility/Infrastructure Attack,1,Business,4,Multinational Corporation,Citroen,8,Incendiary,,,,,
2000,2,13,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Mitrovica,2,Armed Assault,4,Military,37,NATO,NATO Kosovo Force (KFOR),5,Firearms,,,,,
2000,2,14,78,Greece,8,Western Europe,Central Macedonia,Thessaloniki,3,Bombing/Explosion,1,Business,4,Multinational Corporation,Pfizer, Inc.,6,Explosives,,,,
2000,2,21,167,Russia,9,Eastern Europe,Dagestan,Makhachkala,1,Assassination,4,Military,34,Military Personnel (soldiers, troops, officers, forces),Russian Federal Security Service Makhachkala Department Commander,6,Explosives,,
2000,2,22,185,Spain,8,Western Europe,Basque Country,Vitoria,1,Assassination,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Spanish Socialist Party (PSOE),6,Explosives,,,,,
2000,2,22,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Donji Livoc,8,Unarmed Assault,14,Private Citizens & Property,71,Race/Ethnicity Identified,Civilians,9,Melee,,,,,
2000,2,22,167,Russia,9,Eastern Europe,Chechnya (Republic),Omi-Chu,2,Armed Assault,4,Military,29,Military Unit/Patrol/Convoy,Russian Federal Security Service,5,Firearms,,,,,
2000,2,23,167,Russia,9,Eastern Europe,Chechnya (Republic),Urus-Martan,8,Unarmed Assault,2,Government (General),18,Government Personnel (excluding police, military),Russian Federal Security Service (FSB),9,Melee,,,,
2000,2,25,603,United Kingdom,8,Western Europe,Northern Ireland,Ballykelly,3,Bombing/Explosion,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Shackleton Military Barracks,6,Explosives,,,,,
2000,2,25,603,United Kingdom,8,Western Europe,Northern Ireland,Portadown,2,Armed Assault,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilian,5,Firearms,,,,,
2000,2,27,185,Spain,8,Western Europe,Basque Country,Renteria,7,Facility/Infrastructure Attack,19,Transportation,100,Train/Train Tracks/Trolley,Eusko Tren,8,Incendiary,,,,,
2000,2,27,185,Spain,8,Western Europe,Catalonia,Figueres,7,Facility/Infrastructure Attack,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Party of the Socialists of Catalonia (PSC),8,Incendiary,,,,,
2000,2,29,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Srbica,2,Armed Assault,4,Military,37,NATO,NATO Kosovo Force (KFOR),5,Firearms,,,,,
2000,2,29,1003,Kosovo,9,Eastern Europe,Pristina,Pristina,2,Armed Assault,7,Government (Diplomatic),47,International Organization (peacekeeper, aid agency, compound),United Nations,5,Firearms,,,
2000,3,2,167,Russia,9,Eastern Europe,Chechnya (Republic),Grozny,3,Bombing/Explosion,2,Government (General),18,Government Personnel (excluding police, military),Interior Ministry Public Order Department,5,Firearms,,,,
2000,3,4,185,Spain,8,Western Europe,Catalonia,Barcelona,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,National Statistics Institute,6,Explosives,,,,,
2000,3,4,185,Spain,8,Western Europe,Catalonia,Barcelona,3,Bombing/Explosion,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Catalan Socialist Party,6,Explosives,,,,,
2000,3,5,78,Greece,8,Western Europe,Central Macedonia,Thessaloniki,3,Bombing/Explosion,1,Business,3,Bank/Commerce,Commercial Bank,6,Explosives,,,,,
2000,3,5,78,Greece,8,Western Europe,Attica,Athens,3,Bombing/Explosion,1,Business,12,Construction,Atkor Construction,6,Explosives,,,,,
2000,3,6,185,Spain,8,Western Europe,Basque Country,Donostia-San Sebastian,3,Bombing/Explosion,4,Military,34,Military Personnel (soldiers, troops, officers, forces),Civil Guard,6,Explosives,,
2000,3,7,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Mitrovica,2,Armed Assault,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,5,Firearms,,,,,
2000,3,11,69,France,8,Western Europe,Brittany,Argentre-du-Plessis,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,French Tax Office,6,Explosives,,,,,
2000,3,11,28,Bosnia-Herzegovina,9,Eastern Europe,Republika Srpska,Kopaci,3,Bombing/Explosion,14,Private Citizens & Property,69,Religion Identified,Civilian,6,Explosives,,,,,
2000,3,12,28,Bosnia-Herzegovina,9,Eastern Europe,Republika Srpska,Prnjavor,3,Bombing/Explosion,1,Business,,,Civilians,6,Explosives,,,,,
2000,3,14,235,Yugoslavia,9,Eastern Europe,Pcinja,Veliki Trnovac,2,Armed Assault,14,Private Citizens & Property,68,Named Civilian,Civilian,5,Firearms,,,,,
2000,3,16,185,Spain,8,Western Europe,Basque Country,Getxo,3,Bombing/Explosion,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Popular Party,9,Melee,,,,,
2000,3,21,185,Spain,8,Western Europe,Basque Country,Bilbao,3,Bombing/Explosion,14,Private Citizens & Property,76,House/Apartment/Residence,Civilians,6,Explosives,,,,,
2000,3,25,28,Bosnia-Herzegovina,9,Eastern Europe,Republika Srpska,Caparde,2,Armed Assault,14,Private Citizens & Property,73,Vehicles/Transportation,Private Property,5,Firearms,,,,,
2000,3,25,185,Spain,8,Western Europe,Basque Country,Aretxabaleta,7,Facility/Infrastructure Attack,1,Business,3,Bank/Commerce,Bank,8,Incendiary,,,,,
2000,3,25,185,Spain,8,Western Europe,Basque Country,Donostia-San Sebastian,7,Facility/Infrastructure Attack,1,Business,3,Bank/Commerce,Bank,8,Incendiary,,,,,
2000,3,25,185,Spain,8,Western Europe,Basque Country,Ondarroa,7,Facility/Infrastructure Attack,2,Government (General),21,Government Building/Facility/Office,National Institute of Employment,8,Incendiary,,,,,
2000,3,27,167,Russia,9,Eastern Europe,Kamchatka (Oblast),Yelizovo,1,Assassination,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Yelizovo Municipal Government,6,Explosives,,,,,
2000,3,27,167,Russia,9,Eastern Europe,Dagestan,Makhachkala,3,Bombing/Explosion,2,Government (General),18,Government Personnel (excluding police, military),Dagestan government,6,Explosives,,,,
2000,3,29,167,Russia,9,Eastern Europe,Vedensky,Zhani-Vedeno,2,Armed Assault,4,Military,34,Military Personnel (soldiers, troops, officers, forces),Russian Defense Forces,5,Firearms,,
2000,4,1,185,Spain,8,Western Europe,Basque Country,Santurce,3,Bombing/Explosion,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Popular Party,8,Incendiary,,,,,
2000,4,1,69,France,8,Western Europe,Pays-de-la-Loire,Dury,3,Bombing/Explosion,1,Business,1,Gas/Oil/Electric,Total,8,Incendiary,,,,,
2000,4,3,78,Greece,8,Western Europe,Attica,Athens,3,Bombing/Explosion,14,Private Citizens & Property,74,Marketplace/Plaza/Square,Civilians,6,Explosives,,,,,
2000,4,3,78,Greece,8,Western Europe,Attica,Athens,3,Bombing/Explosion,1,Business,3,Bank/Commerce,Ionian Bank,6,Explosives,,,,,
2000,4,3,78,Greece,8,Western Europe,Attica,Athens,3,Bombing/Explosion,1,Business,3,Bank/Commerce,Commercial Bank,6,Explosives,,,,,
2000,4,6,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,3,Bombing/Explosion,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,British Army,6,Explosives,,,,,
2000,4,12,235,Yugoslavia,9,Eastern Europe,Belgrade (District),Belgrade,3,Bombing/Explosion,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Yugoslav Socialist Party,6,Explosives,,,,,
2000,4,12,78,Greece,8,Western Europe,Attica,Athens,3,Bombing/Explosion,14,Private Citizens & Property,73,Vehicles/Transportation,,8,Incendiary,,,,,
2000,4,13,603,United Kingdom,8,Western Europe,Northern Ireland,Rosslea,3,Bombing/Explosion,3,Police,22,Police Building (headquarters, station, school),Royal Ulster Constabulary,6,Explosives,,,
2000,4,15,69,France,8,Western Europe,Aquitaine,Lecumberry,3,Bombing/Explosion,3,Police,22,Police Building (headquarters, station, school),French Police,6,Explosives,,,
2000,4,15,69,France,8,Western Europe,Corsica,Bonifacio,3,Bombing/Explosion,1,Business,11,Entertainment/Cultural/Stadium/Casino,Discotheque �Amnesia�,6,Explosives,,,,,
2000,4,17,1003,Kosovo,9,Eastern Europe,Pristina,Pristina,3,Bombing/Explosion,14,Private Citizens & Property,71,Race/Ethnicity Identified,Civilians,6,Explosives,,,,,
2000,4,19,69,France,8,Western Europe,Brittany,Quevert,3,Bombing/Explosion,1,Business,4,Multinational Corporation,McDonald's,6,Explosives,,,,,
2000,4,21,98,Italy,8,Western Europe,Marche,Loreto,3,Bombing/Explosion,15,Religious Figures/Institutions,86,Place of Worship,Roman Catholic Church,6,Explosives,,,,,
2000,4,21,69,France,8,Western Europe,Corsica,Sagone,3,Bombing/Explosion,1,Business,3,Bank/Commerce,Credit Agricole Bank,6,Explosives,,,,,
2000,4,25,185,Spain,8,Western Europe,Madrid,Madrid,3,Bombing/Explosion,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,La Razon Newspaper,6,Explosives,,,,,
2000,4,25,199,Switzerland,8,Western Europe,Bern,Berne,3,Bombing/Explosion,2,Government (General),20,Intelligence,Swiss intelligence,6,Explosives,,,,,
2000,4,25,199,Switzerland,8,Western Europe,Bern,Berne,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,Defense ministry,6,Explosives,,,,,
2000,4,25,235,Yugoslavia,9,Eastern Europe,Belgrade,Belgrade,1,Assassination,2,Government (General),18,Government Personnel (excluding police, military),Civilian,5,Firearms,,,,
2000,4,29,75,Germany,8,Western Europe,Hamburg,Hamburg,3,Bombing/Explosion,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,6,Explosives,,,,,
2000,5,1,167,Russia,9,Eastern Europe,Chechnya (Republic),Shar-Argun Gorge,2,Armed Assault,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Russian Guard Post,5,Firearms,,,,,
2000,5,2,603,United Kingdom,8,Western Europe,Northern Ireland,Dungannon,2,Armed Assault,14,Private Citizens & Property,68,Named Civilian,Civilian,9,Melee,,,,,
2000,5,3,69,France,8,Western Europe,Ile-de-France,Paris,3,Bombing/Explosion,1,Business,11,Entertainment/Cultural/Stadium/Casino,French Cabaret,6,Explosives,,,,,
2000,5,3,69,France,8,Western Europe,Provence-Alpes-Cote d'Azur,Juan-les-Pins,3,Bombing/Explosion,1,Business,11,Entertainment/Cultural/Stadium/Casino,Unknown,6,Explosives,,,,,
2000,5,3,69,France,8,Western Europe,Provence-Alpes-Cote d'Azur,Carry-le-Rouet,3,Bombing/Explosion,1,Business,11,Entertainment/Cultural/Stadium/Casino,Unknown,6,Explosives,,,,,
2000,5,6,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Slovinje,3,Bombing/Explosion,15,Religious Figures/Institutions,86,Place of Worship,Serbian Orthodox Church,6,Explosives,,,,,
2000,5,7,185,Spain,8,Western Europe,Basque Country,Andoain,1,Assassination,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,Journalist,5,Firearms,,,,,
2000,5,7,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Vitina,2,Armed Assault,14,Private Citizens & Property,71,Race/Ethnicity Identified,Civilians,5,Firearms,,,,,
2000,5,8,185,Spain,8,Western Europe,Galicia,Vigo,3,Bombing/Explosion,1,Business,,,Unknown,6,Explosives,,,,,
2000,5,8,167,Russia,9,Eastern Europe,Chechnya (Republic),Vedeno,3,Bombing/Explosion,4,Military,31,Military Aircraft,Russian Military,6,Explosives,,,,,
2000,5,9,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Cerrnice,2,Armed Assault,1,Business,,,Civilians,6,Explosives,,,,,
2000,5,11,167,Russia,9,Eastern Europe,Ingushetia (Republic),Galashki,9,Unknown,4,Military,34,Military Personnel (soldiers, troops, officers, forces),Russian Military,13,Unknown,,
2000,5,12,167,Russia,9,Eastern Europe,Chechnya,Dzhaglarbi,3,Bombing/Explosion,19,Transportation,101,Bus Station/Stop,Civilians,6,Explosives,,,,,
2000,5,12,167,Russia,9,Eastern Europe,Chechnya,Kirov Village,3,Bombing/Explosion,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,Journalist,6,Explosives,,,,,
2000,5,13,235,Yugoslavia,9,Eastern Europe,Vojvodina (Province),Novi Sad,1,Assassination,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Vojvodina Provincial Prime Minister,5,Firearms,,,,,
2000,5,13,167,Russia,9,Eastern Europe,Chechnya,Gudermes,3,Bombing/Explosion,14,Private Citizens & Property,69,Religion Identified,Chechen Mufti,6,Explosives,,,,,
2000,5,20,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Gjilan,3,Bombing/Explosion,14,Private Citizens & Property,76,House/Apartment/Residence,Kosovo Gypsy,6,Explosives,,,,,
2000,5,20,69,France,8,Western Europe,Provence-Alpes-Cote d'Azur,Marseille,3,Bombing/Explosion,1,Business,11,Entertainment/Cultural/Stadium/Casino,Societe Nationale Corse-Mediterranee (SNCM),6,Explosives,,,,,
2000,5,21,603,United Kingdom,8,Western Europe,England,Witney,3,Bombing/Explosion,1,Business,5,Industrial/Textiles/Factory,Mutchmeats Limited,6,Explosives,,,,,
2000,5,25,50,Croatia,9,Eastern Europe,Vukovar-Syrmia,Vinkovci,3,Bombing/Explosion,14,Private Citizens & Property,79,Public Area (garden, parking lot, garage, beach, public building, camp),Civilians,6,Explosives
2000,5,26,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Kosovo Polje,3,Bombing/Explosion,14,Private Citizens & Property,71,Race/Ethnicity Identified,Kosovo-Serb Civilians,6,Explosives,,,,,
2000,5,27,167,Russia,9,Eastern Europe,Chechnya (Republic),Grozny,2,Armed Assault,3,Police,25,Police Security Forces/Officers,Russian Special Forces Police,5,Firearms,,,,,
2000,5,28,167,Russia,9,Eastern Europe,Chechnya (Republic),Grozny,3,Bombing/Explosion,4,Military,34,Military Personnel (soldiers, troops, officers, forces),Russian Military,6,Explosives,,
2000,5,29,167,Russia,9,Eastern Europe,Chechnya,Sayasan,2,Armed Assault,4,Military,29,Military Unit/Patrol/Convoy,Russian Military,5,Firearms,,,,,
2000,5,29,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Cerrnice,2,Armed Assault,14,Private Citizens & Property,71,Race/Ethnicity Identified,Kosovo-Serb Civilians,5,Firearms,,,,,
2000,5,30,167,Russia,9,Eastern Europe,Chechnya,Grozny,3,Bombing/Explosion,2,Government (General),18,Government Personnel (excluding police, military),Grozny Mayor,6,Explosives,,,,
2000,5,31,167,Russia,9,Eastern Europe,Volgograd (Oblast),Volgograd,3,Bombing/Explosion,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Russian Military,6,Explosives,,,,,
2000,5,31,235,Yugoslavia,9,Eastern Europe,Podgorica,Podgorica,1,Assassination,2,Government (General),18,Government Personnel (excluding police, military),Montenegro government,5,Firearms,,,,
2000,6,1,603,United Kingdom,8,Western Europe,England,London,3,Bombing/Explosion,19,Transportation,103,Bridge/Car Tunnel,Bridge,6,Explosives,,,,,
2000,6,2,167,Russia,9,Eastern Europe,Chechnya (Republic),Grozny,3,Bombing/Explosion,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Russian Armed Forces,6,Explosives,,,,,
2000,6,2,167,Russia,9,Eastern Europe,Chechnya (Republic),Grozny,9,Unknown,3,Police,25,Police Security Forces/Officers,Special Police Forces,13,Unknown,,,,,
2000,6,2,1003,Kosovo,9,Eastern Europe,Pristina,Kosovo Polje,3,Bombing/Explosion,14,Private Citizens & Property,71,Race/Ethnicity Identified,Kosovo-Serb Civilians,6,Explosives,,,,,
2000,6,2,167,Russia,9,Eastern Europe,Chechnya (Republic),Urus-Martan,3,Bombing/Explosion,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Russian Police Forces,6,Explosives,,,,,
2000,6,2,167,Russia,9,Eastern Europe,Chechnya (Republic),Vedeno,3,Bombing/Explosion,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Russian Police Forces,6,Explosives,,,,,
2000,6,3,185,Spain,8,Western Europe,Basque Country,Renteria,7,Facility/Infrastructure Attack,2,Government (General),21,Government Building/Facility/Office,The Guipuzcoa Provincial Tax Office,8,Incendiary,,,,,
2000,6,3,167,Russia,9,Eastern Europe,Chechnya,Samashki,2,Armed Assault,2,Government (General),18,Government Personnel (excluding police, military),Russian Ministry for Emergency Situations,6,Explosives,,,,
2000,6,4,69,France,8,Western Europe,Corsica,Porto-Vecchio,3,Bombing/Explosion,1,Business,,,Gulf Estate Agency,6,Explosives,,,,,
2000,6,4,185,Spain,8,Western Europe,Basque Country,Durango,1,Assassination,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Durango Town Councilor,5,Firearms,,,,,
2000,6,6,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Gorazhdec,3,Bombing/Explosion,14,Private Citizens & Property,71,Race/Ethnicity Identified,Kosovo-Serb Civilians,6,Explosives,,,,,
2000,6,6,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Gracanica,3,Bombing/Explosion,14,Private Citizens & Property,71,Race/Ethnicity Identified,Kosovo-Serb Civilians,6,Explosives,,,,,
2000,6,6,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,7,Facility/Infrastructure Attack,18,Tourists,96,Tour Bus/Van,Tour buses,8,Incendiary,,,,,
2000,6,6,1003,Kosovo,9,Eastern Europe,Unknown,Unknown,2,Armed Assault,4,Military,37,NATO,NATO,5,Firearms,,,,,
2000,6,7,28,Bosnia-Herzegovina,9,Eastern Europe,Republika Srpska,Bijeljina,1,Assassination,3,Police,25,Police Security Forces/Officers,Panthers Serb Paramilitary Unit Leader,5,Firearms,,,,,
2000,6,7,167,Russia,9,Eastern Europe,Chechnya,Alkhan-Yurt,3,Bombing/Explosion,3,Police,22,Police Building (headquarters, station, school),Russian OMON Special Police,6,Explosives,,,
2000,6,7,603,United Kingdom,8,Western Europe,Northern Ireland,Annalong,3,Bombing/Explosion,14,Private Citizens & Property,76,House/Apartment/Residence,Civilians,6,Explosives,,,,,
2000,6,8,167,Russia,9,Eastern Europe,Chechnya,Between Urus-Martan and Guekhi,1,Assassination,3,Police,25,Police Security Forces/Officers,Russian Western Chechnya Front Deputy Commander,5,Firearms,,,,,
2000,6,8,235,Yugoslavia,9,Eastern Europe,Central Serbia,Konculj,3,Bombing/Explosion,3,Police,25,Police Security Forces/Officers,Serbian Police,6,Explosives,,,,,
2000,6,8,78,Greece,8,Western Europe,Attica,Athens,1,Assassination,7,Government (Diplomatic),45,Diplomatic Personnel (outside of embassy, consulate),British Military Attache,5,Firearms,,,,
2000,6,8,185,Spain,8,Western Europe,Catalonia,Barcelona,3,Bombing/Explosion,1,Business,,,Temporary Employment Agency,6,Explosives,,,,,
2000,6,8,185,Spain,8,Western Europe,Catalonia,Barcelona,3,Bombing/Explosion,1,Business,,,Temporary Employment Agency,6,Explosives,,,,,
2000,6,8,185,Spain,8,Western Europe,Catalonia,Barcelona,3,Bombing/Explosion,1,Business,,,Temporary Employment Agency,6,Explosives,,,,,
